job title,company name,date,location,skills,links
Regular QA Automation Engineer - Remote Egypt,Luxoft (A DXC Technology Company) -,16 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · QA · Quality Assurance · Test · Testing · Python · Agile · Computer Science,/jobs/p/5SxuO1QQP8Wq-Regular-QA-Automation-Engineer---Remote-Egypt-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=61&l=sp&t=sj&a=python|search-v3|hpb
Senior Back-End Software Engineer,Xpovi -,20 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · Docker · AWS · Django · PostgreSQL · Postman · JIRA · Software Development,/jobs/p/fkaRosNg8PtB-Senior-Back-End-Software-Engineer-Xpovi-Cairo-Egypt?o=62&l=sp&t=sj&a=python|search-v3|hpb
Ruby ON Rails Developer,Digital Experts  -,17 days ago,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ruby on Rails · Software Development · JSON API’s · Computer Science · Information Technology (IT) · JSON · Programming · Python,/jobs/p/YOIaOIGS9SXy-Ruby-ON-Rails-Developer-Digital-Experts-Cairo-Egypt?o=63&l=sp&t=sj&a=python|search-v3|hpb
SRE - CI/CD Automation Engineer,Advansys ESC -,21 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ansible · Automation · Cloud · Computer Science · Engineering · English · Groovy · Information Technology (IT),/jobs/p/ZFU03DnwCOk9-SRE---CICD-Automation-Engineer-Advansys-ESC-Cairo-Egypt?o=64&l=sp&t=sj&a=python|search-v3|hpb
Backend Software Engineer [Python],FlairsTech -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · AWS · SQL · backend · Cloud · TDD · APIs · Computer Science,/jobs/p/DPPsMij6kcwY-Backend-Software-Engineer-Python-FlairsTech-Cairo-Egypt?o=65&l=sp&t=sj&a=python|search-v3|hpb
Software Application Architect,YDS yasar digital services  -,24 days ago,"Sheikh Zayed, Giza, Egypt ",Part TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · APIs · Programming · REST · Software Development · Software Engineering,/jobs/p/aq4p81P6lSQm-Software-Application-Architect-YDS-yasar-digital-services-Giza-Egypt?o=66&l=sp&t=sj&a=python|search-v3|hpb
Senior Data Engineer,Kalasko -,23 days ago,"Hurghada, Red Sea, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Information Technology (IT) · Data Engineering · Git · SQL · DevOps · Azure · AWS,/jobs/p/9pa35ndrMocC-Senior-Data-Engineer-Kalasko-Red-Sea-Egypt?o=67&l=sp&t=sj&a=python|search-v3|hpb
SRE Engineer,Advansys ESC -,21 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Cloud · Computer Science · Go · Linux · Python · Shell · ELK,/jobs/p/GkYedbvB2voC-SRE-Engineer-Advansys-ESC-Cairo-Egypt?o=68&l=sp&t=sj&a=python|search-v3|hpb
Technical Leader,Luxoft (A DXC Technology Company) -,24 days ago,"Cairo, Egypt ",Full TimeWork From HomeManager · 7 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ 17 · C++ · Linux · QNX · Management · Software Development · Computer Science · Engineering,/jobs/p/orzmffefKz7P-Technical-Leader-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=69&l=sp&t=sj&a=python|search-v3|hpb
DevOps Engineer (Remotely for USA),Mobile Wave 3 -,25 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 8 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · AWS · Information Technology (IT) · Java · Kubernetes · Python,/jobs/p/qEKSI3oC9xVf-DevOps-Engineer-Remotely-for-USA-Mobile-Wave-3-Cairo-Egypt?o=70&l=sp&t=sj&a=python|search-v3|hpb
